Index,composition,target,pred-0,uncertainty
0,Ba1Sr7V8O24,29.74770736694336,28.11048126220703,3.8472936153411865
1,Ba2Ca6Fe8O24,171.60809326171875,172.51748657226562,6.657366752624512
2,Ba2Cd2Pr4Ni8O24,284.898193359375,281.23944091796875,9.653120040893555
3,Ba2Gd6Fe8O24,70.97341918945312,70.181884765625,3.3340516090393066
4,Ba2La6Co8O24,59.63499069213867,61.191184997558594,3.91816782951355
5,Ba2La6Fe8O24,0.0,0.2126922607421875,1.2783582210540771
6,Ba2La6Ga8O24,94.50621032714844,88.19918060302734,7.8982977867126465
7,Ba2La6Mn8O24,43.36371994018555,44.276554107666016,3.876600980758667
8,Ba2La6Ni8O24,162.30857849121094,161.8878173828125,6.4158549308776855
9,Ba2La6Sc8O24,14.094444274902344,17.472923278808594,3.3108463287353516
10,Ba2La6Ti8O24,14.810051918029785,13.150634765625,2.6916158199310303
11,Ba2Mg6Fe8O24,515.8053588867188,503.902099609375,104.90270233154297
12,Ba2Nd6Fe8O24,132.8149871826172,131.03244018554688,7.238361835479736
13,Ba2Pr6Cr8O24,33.65498352050781,30.409286499023438,3.9688940048217773
14,Ba2Pr6Fe8O24,58.885318756103516,60.75511932373047,4.074150085449219
15,Ba2Pr6Ga8O24,155.46507263183594,156.79473876953125,7.951183795928955
16,Ba2Pr6Mn8O24,51.309017181396484,52.673702239990234,4.937272071838379
17,Ba2Pr6Ni8O24,162.89218139648438,162.4508514404297,7.060033798217773
18,Ba2Pr6Sc8O24,65.9849624633789,66.36993408203125,3.59454607963562
19,Ba2Pr6Ti8O24,10.174511909484863,8.857322692871094,4.029603481292725
20,Ba2Pr6V8O24,18.97350311279297,23.780006408691406,4.24637508392334
21,Ba2Sn2Pr4Ni8O24,276.34027099609375,276.5261535644531,9.544849395751953
22,Ba2Sr6Co8O24,106.74575805664062,103.96781158447266,3.391718864440918
23,Ba2Sr6Fe4Co4O24,109.48895263671875,113.07518005371094,4.01173210144043
24,Ba2Sr6Fe4Ni4O24,183.2712860107422,180.8917999267578,5.9254961013793945
25,Ba2Sr6Fe6Co2O24,105.72218322753906,106.65017700195312,3.150937080383301
26,Ba2Sr6Fe6Ni2O24,135.95445251464844,131.9127960205078,4.163824558258057
27,Ba2Sr6Fe7Co1O24,113.0606460571289,108.2822265625,3.449502944946289
28,Ba2Sr6Fe8O24,89.50296020507812,88.36456298828125,2.676649808883667
29,Ba2Sr6Mn1Fe7O24,102.77542114257812,100.82131958007812,3.2947280406951904
30,Ba2Sr6Mn2Fe6O24,96.03604125976562,96.76732635498047,3.0104172229766846
31,Ba2Sr6Mn4Fe4O24,86.69975280761719,85.31815338134766,3.1405210494995117
32,Ba2Sr6Mn8O24,113.88619995117188,108.5471420288086,4.299638271331787
33,Ba2Sr6Ni8O24,258.82806396484375,257.9814453125,11.066099166870117
34,Ba2Sr6V8O24,42.133506774902344,42.170955657958984,6.161492824554443
35,Ba2Y6Co8O24,113.4830551147461,112.42301177978516,4.625586986541748
36,Ba2Y6Cr8O24,101.75572967529297,101.71662139892578,6.1367340087890625
37,Ba2Y6Fe8O24,84.72896575927734,90.70726013183594,4.777398586273193
38,Ba2Y6Ga8O24,184.3874053955078,186.17645263671875,7.65821647644043
39,Ba2Y6Mn8O24,91.10598754882812,91.8567886352539,3.891963005065918
40,Ba2Y6Ni8O24,152.57089233398438,154.9179229736328,8.514877319335938
41,Ba2Y6Sc8O24,94.6025619506836,95.83541870117188,4.483856678009033
42,Ba2Y6Ti8O24,66.50125122070312,67.49546813964844,5.7688493728637695
43,Ba2Y6V8O24,33.004798889160156,32.10194396972656,3.109229326248169
44,Ba3Bi1Pr4Co8O24,109.03340911865234,105.21498107910156,4.811690330505371
45,Ba3Bi4La1Fe8O24,171.95669555664062,179.6143341064453,8.48482608795166
46,Ba3Cd1Pr4Ni8O24,257.0759582519531,260.756591796875,10.495198249816895
47,Ba3Cd4La1Fe8O24,258.6653137207031,262.0328674316406,11.483013153076172
48,Ba3Sn4La1Fe8O24,285.9481506347656,283.6803894042969,10.249229431152344
49,Ba3Sr3La2Mn1Fe7O24,0.0,8.846115112304688,19.286588668823242
50,Ba4Ba4Mn2Fe6O24,271.9065856933594,97.94873046875,147.09771728515625
51,Ba4Bi4Fe8O24,187.39105224609375,194.13189697265625,8.463597297668457
52,Ba4Bi4Zr7Fe1O24,138.89285278320312,140.6764373779297,5.815694808959961
53,Ba4Ca4Co6Ni2O24,247.6849822998047,246.11929321289062,8.091404914855957
54,Ba4Ca4Co7Ni1O24,212.7566375732422,216.64959716796875,6.978877067565918
55,Ba4Ca4Fe1Co7O24,187.8944091796875,193.39541625976562,6.6367645263671875
56,Ba4Ca4Fe1Ni7O24,332.2121276855469,334.5643005371094,11.344992637634277
57,Ba4Ca4Fe2Ni6O24,317.35687255859375,313.9688720703125,10.018299102783203
58,Ba4Ca4Fe8O24,163.1857452392578,168.61404418945312,10.711580276489258
59,Ba4Ca4Mn1Ni7O24,349.60540771484375,345.9505310058594,12.17979621887207
60,Ba4Ca4Mn2Ni6O24,346.0879211425781,334.8494873046875,11.464698791503906
61,Ba4Ca4Mn4Ni4O24,313.7228698730469,280.595703125,11.118266105651855
62,Ba4Ca4Mn6Fe2O24,192.0104217529297,185.34420776367188,6.056350231170654
63,Ba4Ca4Mn6Ni2O24,234.96885681152344,236.72360229492188,8.612584114074707
64,Ba4Ca4Mn7Co1O24,206.61013793945312,208.64744567871094,6.648365497589111
65,Ba4Ca4Mn7Fe1O24,192.71275329589844,196.02987670898438,6.473681449890137
66,Ba4Ca4Mn7Ni1O24,213.33322143554688,213.4160614013672,6.734139442443848
67,Ba4Ca4Ni4Co4O24,330.9399108886719,307.9398193359375,13.602224349975586
68,Ba4Ca4Ni6Co2O24,364.70709228515625,362.3304443359375,12.815004348754883
69,Ba4Ca4Ni7Co1O24,354.7377624511719,359.07928466796875,11.915234565734863
70,Ba4Cd4Fe8O24,278.98468017578125,275.4052429199219,12.164643287658691
71,Ba4Cd4Hf1Zr6Fe1O24,98.58075714111328,101.60216522216797,6.3661274909973145
72,Ba4Cd4Zr7Fe1O24,151.5536651611328,150.1406707763672,6.4315009117126465
