epoch,train loss,val loss,swa
0.0,55.76648863528724,57.73625118127141,n
1.0,52.999485762562266,55.34936523684566,y
3.0,43.50092085348365,46.896216394987746,y
5.0,38.55041356843456,39.792605862098654,y
7.0,36.491999329524035,38.68928871253612,y
9.0,33.3529330341152,33.37253595510295,y
11.0,30.469342360761313,33.636391014632785,y
13.0,29.40922155277196,32.50160430750081,y
15.0,27.872583703824,30.676940851260962,y
17.0,26.5355178642828,28.61746150347853,y
19.0,24.297041301952493,27.33458481674985,y
21.0,22.69197667144407,26.095528968257607,y
23.0,21.379835072264058,23.80919818433455,y
25.0,20.866645660026006,24.42460442083487,y
27.0,19.647630561898822,22.968137350724767,y
29.0,19.28091242818398,24.293706906274192,y
31.0,17.585699020799865,22.027149237499337,y
33.0,17.18656228577292,21.76066380584796,y
35.0,16.08903253376307,19.2690471416928,y
37.0,17.130544518598953,21.394298338519476,y
39.0,14.066220505850241,18.639062360160707,y
41.0,14.95219164589157,19.26453200276034,y
43.0,13.185928164613417,17.428541521951942,y
45.0,13.672307033670684,18.73320826347628,y
47.0,14.01171332411247,17.944106232934665,y
49.0,12.607734668200056,17.877464074544957,y
51.0,13.434016475058465,17.269782049050605,y
53.0,12.164631723482625,18.1500232553235,y
